race_date,race_date_citation,track_name,track_name_citation,race_number,race_number_citation,chart_url,chart_url_citation,winning_horse,winning_horse_citation,payouts,fractional_times
01/04/2026,https://www.equibase.com/static/chart/summary/AQU010426USA1-EQB.html,AQUEDUCT,https://www.equibase.com/static/chart/summary/AQU010426USA1-EQB.html,1,https://www.equibase.com/static/chart/summary/AQU010426USA1-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=AQU&raceDate=01/04/2026&cy=USA&rn=1,https://www.equibase.com/static/chart/summary/AQU010426USA1-EQB.html,Crossingthechannel,https://www.equibase.com/static/chart/summary/AQU010426USA1-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/AQU010426USA2-EQB.html,AQUEDUCT,https://www.equibase.com/static/chart/summary/AQU010426USA2-EQB.html,2,https://www.equibase.com/static/chart/summary/AQU010426USA2-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=AQU&raceDate=01/04/2026&cy=USA&rn=2,https://www.equibase.com/static/chart/summary/AQU010426USA2-EQB.html,Otherpeoplesmoney,https://www.equibase.com/static/chart/summary/AQU010426USA2-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/AQU010426USA3-EQB.html,AQUEDUCT,https://www.equibase.com/static/chart/summary/AQU010426USA3-EQB.html,3,https://www.equibase.com/static/chart/summary/AQU010426USA3-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=AQU&raceDate=01/04/2026&cy=USA&rn=3,https://www.equibase.com/static/chart/summary/AQU010426USA3-EQB.html,Romeo Void,https://www.equibase.com/static/chart/summary/AQU010426USA3-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/AQU010426USA4-EQB.html,AQUEDUCT,https://www.equibase.com/static/chart/summary/AQU010426USA4-EQB.html,4,https://www.equibase.com/static/chart/summary/AQU010426USA4-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=AQU&raceDate=01/04/2026&cy=USA&rn=4,https://www.equibase.com/static/chart/summary/AQU010426USA4-EQB.html,National Identity,https://www.equibase.com/static/chart/summary/AQU010426USA4-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/AQU010426USA5-EQB.html,AQUEDUCT,https://www.equibase.com/static/chart/summary/AQU010426USA5-EQB.html,5,https://www.equibase.com/static/chart/summary/AQU010426USA5-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=AQU&raceDate=01/04/2026&cy=USA&rn=5,https://www.equibase.com/static/chart/summary/AQU010426USA5-EQB.html,Autumn's Turn,https://www.equibase.com/static/chart/summary/AQU010426USA5-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/AQU010426USA6-EQB.html,AQUEDUCT,https://www.equibase.com/static/chart/summary/AQU010426USA6-EQB.html,6,https://www.equibase.com/static/chart/summary/AQU010426USA6-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=AQU&raceDate=01/04/2026&cy=USA&rn=6,https://www.equibase.com/static/chart/summary/AQU010426USA6-EQB.html,Princess Wadadli,https://www.equibase.com/static/chart/summary/AQU010426USA6-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/AQU010426USA7-EQB.html,AQUEDUCT,https://www.equibase.com/static/chart/summary/AQU010426USA7-EQB.html,7,https://www.equibase.com/static/chart/summary/AQU010426USA7-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=AQU&raceDate=01/04/2026&cy=USA&rn=7,https://www.equibase.com/static/chart/summary/AQU010426USA7-EQB.html,Purloin,https://www.equibase.com/static/chart/summary/AQU010426USA7-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/AQU010426USA8-EQB.html,AQUEDUCT,https://www.equibase.com/static/chart/summary/AQU010426USA8-EQB.html,8,https://www.equibase.com/static/chart/summary/AQU010426USA8-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=AQU&raceDate=01/04/2026&cy=USA&rn=8,https://www.equibase.com/static/chart/summary/AQU010426USA8-EQB.html,Carlin Contention,https://www.equibase.com/static/chart/summary/AQU010426USA8-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/FG010426USA1-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010426USA1-EQB.html,1,https://www.equibase.com/static/chart/summary/FG010426USA1-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/04/2026&cy=USA&rn=1,https://www.equibase.com/static/chart/summary/FG010426USA1-EQB.html,Regatta Bay,https://www.equibase.com/static/chart/summary/FG010426USA1-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/FG010426USA2-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010426USA2-EQB.html,2,https://www.equibase.com/static/chart/summary/FG010426USA2-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/04/2026&cy=USA&rn=2,https://www.equibase.com/static/chart/summary/FG010426USA2-EQB.html,Steel Venom,https://www.equibase.com/static/chart/summary/FG010426USA2-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/FG010426USA3-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010426USA3-EQB.html,3,https://www.equibase.com/static/chart/summary/FG010426USA3-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/04/2026&cy=USA&rn=3,https://www.equibase.com/static/chart/summary/FG010426USA3-EQB.html,Thebabeslayer,https://www.equibase.com/static/chart/summary/FG010426USA3-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/FG010426USA4-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010426USA4-EQB.html,4,https://www.equibase.com/static/chart/summary/FG010426USA4-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/04/2026&cy=USA&rn=4,https://www.equibase.com/static/chart/summary/FG010426USA4-EQB.html,Miz Chris,https://www.equibase.com/static/chart/summary/FG010426USA4-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/FG010426USA5-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010426USA5-EQB.html,5,https://www.equibase.com/static/chart/summary/FG010426USA5-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/04/2026&cy=USA&rn=5,https://www.equibase.com/static/chart/summary/FG010426USA5-EQB.html,Roar of Silence,https://www.equibase.com/static/chart/summary/FG010426USA5-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/FG010426USA6-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010426USA6-EQB.html,6,https://www.equibase.com/static/chart/summary/FG010426USA6-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/04/2026&cy=USA&rn=6,https://www.equibase.com/static/chart/summary/FG010426USA6-EQB.html,S S Radio,https://www.equibase.com/static/chart/summary/FG010426USA6-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/FG010426USA7-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010426USA7-EQB.html,7,https://www.equibase.com/static/chart/summary/FG010426USA7-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/04/2026&cy=USA&rn=7,https://www.equibase.com/static/chart/summary/FG010426USA7-EQB.html,Carc Brothers,https://www.equibase.com/static/chart/summary/FG010426USA7-EQB.html,,
01/04/2026,https://www.equibase.com/static/chart/summary/FG010426USA8-EQB.html,FG,https://www.equibase.com/static/chart/summary/FG010426USA8-EQB.html,8,https://www.equibase.com/static/chart/summary/FG010426USA8-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=FG&raceDate=01/04/2026&cy=USA&rn=8,https://www.equibase.com/static/chart/summary/FG010426USA8-EQB.html,Braken Poppa,https://www.equibase.com/static/chart/summary/FG010426USA8-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/HOU010326USA1-EQB.html,SAM HOUSTON,https://www.equibase.com/static/chart/summary/HOU010326USA1-EQB.html,1,https://www.equibase.com/static/chart/summary/HOU010326USA1-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=HOU&raceDate=01/03/2026&cy=USA&rn=1,https://www.equibase.com/static/chart/summary/HOU010326USA1-EQB.html,RS FORTEZA,https://www.equibase.com/static/chart/summary/HOU010326USA1-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/HOU010326USA2-EQB.html,SAM HOUSTON,https://www.equibase.com/static/chart/summary/HOU010326USA2-EQB.html,2,https://www.equibase.com/static/chart/summary/HOU010326USA2-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=HOU&raceDate=01/03/2026&cy=USA&rn=2,https://www.equibase.com/static/chart/summary/HOU010326USA2-EQB.html,Put a Rock On It,https://www.equibase.com/static/chart/summary/HOU010326USA2-EQB.html,,
